"Story","Title","Result","Date","Stability","Duration (s)"
"Arrivals","All arrivals berlin","SUCCESS","2021-01-25T21:21:17.551Z[Europe/London]","0.0","0.82"
"Arrivals","All arrivals berlin invalid date","SUCCESS","2021-01-25T21:21:18.424Z[Europe/London]","0.0","0.0"
