"Story","Title","Result","Date","Stability","Duration (s)"
"Arrivals","All arrivals berlin","SUCCESS","2021-01-24T12:48:30.648Z[Europe/London]","0.0","0.74"
"Arrivals","All arrivals berlin invalid date","SUCCESS","2021-01-24T12:48:31.445Z[Europe/London]","0.0","0.0"
